id,name,manufacturer,price,createdAt,updatedAt,deleted
1,ピザポテト,カルビー,298,2025-12-24T10:53:32.462681982,2025-12-24T10:53:32.462834577,false
2,ピザポテト,カルビー,298,2025-12-24T11:00:03.143839896,2025-12-24T11:00:30.350754889,true
3,プリングルス,P&G,400,2025-12-24T11:00:18.429563368,2025-12-24T11:00:18.429660469,false
4,雪の宿,亀田製菓,300,2025-12-24T11:00:58.529318212,2025-12-24T11:00:58.52941323,false
5,商品名0005,メーカー0005,7920,2025-12-24 11:20:17,2025-12-24 15:56:23,false
6,商品名0006,メーカー0006,9532,2025-12-24 22:39:13,2025-12-24 17:50:02,false
7,商品名0007,メーカー0007,7845,2025-12-24 22:51:35,2025-12-25 08:41:22,false
8,商品名0008,メーカー0008,1053,2025-12-24 16:37:09,2025-12-24 22:34:08,false
9,商品名0009,メーカー0009,7647,2025-12-24 20:55:28,2025-12-24 23:26:31,false
10,商品名0010,メーカー0010,5804,2025-12-24 22:32:09,2025-12-24 21:56:30,false
11,商品名0011,メーカー0011,2723,2025-12-24 18:28:51,2025-12-25 01:55:42,false
12,商品名0012,メーカー0012,1094,2025-12-24 16:04:11,2025-12-25 05:37:35,false
13,商品名0013,メーカー0013,76,2025-12-25 00:43:28,2025-12-24 22:59:37,false
14,商品名0014,メーカー0014,5210,2025-12-24 21:24:34,2025-12-25 10:29:04,false
15,商品名0015,メーカー0015,6415,2025-12-24 23:52:53,2025-12-24 19:13:05,false
16,商品名0016,メーカー0016,1039,2025-12-24 21:14:44,2025-12-25 00:05:10,false
17,商品名0017,メーカー0017,8336,2025-12-24 19:12:48,2025-12-25 02:34:06,false
18,商品名0018,メーカー0018,4417,2025-12-24 21:35:16,2025-12-24 11:01:10,false
19,商品名0019,メーカー0019,1899,2025-12-25 01:28:02,2025-12-24 17:49:29,false
20,商品名0020,メーカー0020,3401,2025-12-25 05:41:46,2025-12-24 14:35:02,false
21,商品名0021,メーカー0021,5368,2025-12-25 04:22:37,2025-12-24 19:17:14,false
22,商品名0022,メーカー0022,5459,2025-12-25 02:13:03,2025-12-24 20:29:58,false
23,商品名0023,メーカー0023,6155,2025-12-24 21:18:26,2025-12-24 21:37:55,false
24,商品名0024,メーカー0024,1120,2025-12-25 03:12:09,2025-12-25 09:02:05,false
25,商品名0025,メーカー0025,241,2025-12-24 20:41:25,2025-12-24 12:42:45,false
26,商品名0026,メーカー0026,6775,2025-12-25 04:40:05,2025-12-25 03:44:34,false
27,商品名0027,メーカー0027,6856,2025-12-24 23:33:10,2025-12-25 04:21:58,false
28,商品名0028,メーカー0028,9655,2025-12-25 08:59:23,2025-12-24 11:22:09,false
29,商品名0029,メーカー0029,9672,2025-12-24 17:42:55,2025-12-24 14:52:30,false
30,商品名0030,メーカー0030,4560,2025-12-24 13:46:41,2025-12-24 18:47:24,false
31,商品名0031,メーカー0031,8805,2025-12-24 11:29:41,2025-12-24 22:26:10,false
32,商品名0032,メーカー0032,1959,2025-12-25 04:47:48,2025-12-24 14:21:21,false
33,商品名0033,メーカー0033,3672,2025-12-24 14:01:51,2025-12-24 15:03:02,false
34,商品名0034,メーカー0034,9365,2025-12-25 07:39:03,2025-12-24 20:45:53,false
35,商品名0035,メーカー0035,4684,2025-12-25 01:47:39,2025-12-24 12:51:36,false
